rank,finalWorth,personName,age,country,city,industries,selfMade,status,gender,life_expectancy_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,gdp_country,total_tax_rate_country,population_country
497,5300,Rick Caruso,64.0,United States,Los Angeles,Real Estate,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Ibrahim Erdemoglu,60.0,Turkey,Istanbul,Manufacturing,True,U,M,77.4,23.9,93.2,"$754,411,708,203 ",42.3,83429615.0
497,5300,Elizabeth Johnson,59.0,United States,Boston,Finance & Investments,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Douglas Leone,65.0,United States,Atherton,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Prajogo Pangestu,78.0,Indonesia,Jakarta,Diversified,False,D,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
497,5300,Thomas Pritzker,72.0,United States,Chicago,Finance & Investments,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Lynda Resnick,80.0,United States,Beverly Hills,Food & Beverage,True,Split Family Fortune,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Stewart Resnick,86.0,United States,Beverly Hills,Food & Beverage,True,Split Family Fortune,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Gary Rollins,78.0,United States,Atlanta,Service,False,E,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Mark Walter,62.0,United States,Chicago,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Ronald Wanek,81.0,United States,Saint Petersburg,Manufacturing,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
497,5300,Erich Wesjohann & family,77.0,Germany,Visbek,Food & Beverage,True,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
497,5300,M.A. Yusuff Ali,67.0,United Arab Emirates,Abu Dhabi,Fashion & Retail,True,D,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
511,5200,Alexandre Behring,56.0,United States,Greenwich,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
511,5200,Cheng Xue,53.0,China,Foshan,Food & Beverage,True,D,F,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
511,5200,Robert Faith,59.0,United States,Charleston,Real Estate,True,N,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
511,5200,Gao Dekang & family,71.0,China,Changshu,Fashion & Retail,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
511,5200,Micky Jagtiani,71.0,United Arab Emirates,Dubai,Fashion & Retail,False,U,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
511,5200,Ananda Krishnan,85.0,Malaysia,Kuala Lumpur,Telecom,True,D,M,76.0,45.1,105.3,"$364,701,517,788 ",38.7,32447385.0
511,5200,"Robert Rich, Jr.",82.0,United States,Islamorada,Food & Beverage,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
511,5200,Mark Scheinberg,49.0,United Kingdom,Isle of Man,Gambling & Casinos,True,D,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
511,5200,Charles Simonyi,74.0,United States,Medina,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
511,5200,Ty Warner,78.0,United States,Oak Brook,Real Estate,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
511,5200,Sam Zell,81.0,United States,Chicago,Real Estate,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Fang Wei,49.0,China,Beijing,Manufacturing,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
523,5100,Rekha Jhunjhunwala,59.0,India,Mumbai,Finance & Investments,False,N,F,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
523,5100,Charles B. Johnson,90.0,United States,Palm Beach,Finance & Investments,False,E,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Kwon Hyuk-bin,49.0,South Korea,Seoul,Media & Entertainment,True,D,M,82.6,94.3,98.1,"$2,029,000,000,000 ",33.2,51709098.0
523,5100,Sami Mnaymneh,61.0,United States,Miami Beach,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Kjell Inge Rokke,64.0,Norway,Vettre,Logistics,True,D,M,82.8,82.0,100.3,"$403,336,363,636 ",36.2,5347896.0
523,5100,Tony Tamer,65.0,United States,New York,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Romesh T. Wadhwani,75.0,United States,Palo Alto,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Hansjoerg Wyss,88.0,United States,Wilson,Healthcare,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
523,5100,Denise York & family,72.0,United States,Youngstown,Sports,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Ron Baron,79.0,United States,New York,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Robert Bass,75.0,United States,Fort Worth,Energy,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Dona Bertarelli,55.0,Switzerland,Gstaad,Healthcare,False,U,F,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
534,5000,Alexander Gerko,43.0,United Kingdom,London,Finance & Investments,True,N,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
534,5000,Martin Haefner,69.0,Switzerland,Zurich,Technology,False,U,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
534,5000,"Robert Hale, Jr.",56.0,United States,Boston,Telecom,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Viktor Kharitonin,50.0,Russia,Moscow,Healthcare,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
534,5000,Kim Beom-su,57.0,South Korea,Seoul,Technology,True,D,M,82.6,94.3,98.1,"$2,029,000,000,000 ",33.2,51709098.0
534,5000,Jane Lauder,50.0,United States,New York,Fashion & Retail,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Michel Leclercq & family,83.0,France,Lille,Fashion & Retail,False,U,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
534,5000,George Lucas,78.0,United States,San Anselmo,Media & Entertainment,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Janice McNair,86.0,United States,Houston,Sports,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
534,5000,Ugur Sahin,57.0,Germany,Mainz,Healthcare,True,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
534,5000,Alexandra Schoerghuber & family,64.0,Germany,Munich,Real Estate,False,U,F,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
534,5000,Thomas Straumann,59.0,Switzerland,Basel,Healthcare,False,D,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
534,5000,Murat Ulker,64.0,Turkey,Istanbul,Food & Beverage,False,U,M,77.4,23.9,93.2,"$754,411,708,203 ",42.3,83429615.0
534,5000,Chip Wilson,66.0,Canada,Vancouver,Fashion & Retail,True,D,M,81.9,68.9,100.9,"$1,736,425,629,520 ",24.5,36991981.0
552,4900,Jim Davis & family,79.0,United States,Newton,Manufacturing,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Murali Divi & family,72.0,India,Hyderabad,Healthcare,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
552,4900,Dagmar Dolby & family,81.0,United States,San Francisco,Technology,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Tom Golisano,81.0,United States,Naples,Service,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Jonathan Gray,53.0,United States,New York,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Bidzina Ivanishvili,67.0,Georgia,Tbilisi,Finance & Investments,True,U,M,73.6,63.9,98.6,"$17,743,195,770 ",9.9,3720382.0
552,4900,Lim Hariyanto Wijaya Sarwono,94.0,Indonesia,Jakarta,Metals & Mining,True,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
552,4900,Rudolf Maag,77.0,Switzerland,Binningen,Healthcare,True,D,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
552,4900,Emanuele (Lino) Saputo & family,86.0,Canada,Montreal,Food & Beverage,False,U,M,81.9,68.9,100.9,"$1,736,425,629,520 ",24.5,36991981.0
552,4900,Mark Shoen,72.0,United States,Phoenix,Automotive,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Dan Snyder,58.0,United States,Potomac,Sports,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Chairul Tanjung,60.0,Indonesia,Jakarta,Diversified,True,D,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
552,4900,Kelcy Warren,67.0,United States,Dallas,Energy,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
552,4900,Zhang Tao,50.0,China,Beijing,Fashion & Retail,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
567,4800,Michael Ashley,58.0,United Kingdom,Hertfordshire,Fashion & Retail,True,U,M,81.3,60.0,101.2,"$2,827,113,184,696 ",30.6,66834405.0
567,4800,Tomasz Biernacki,50.0,Poland,"Krotoszyn,",Fashion & Retail,True,U,M,77.6,67.8,100.0,"$592,164,400,688 ",40.8,37970874.0
567,4800,Bernard Broermann,79.0,Germany,Koenigstein,Healthcare,True,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
567,4800,Jimmy Haslam,69.0,United States,Knoxville,Fashion & Retail,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,H. Fisk Johnson,64.0,United States,Racine,Manufacturing,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,S. Curtis Johnson,67.0,United States,Racine,Manufacturing,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,Helen Johnson-Leipold,66.0,United States,Racine,Manufacturing,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,Vinod Khosla,68.0,United States,Portola Valley,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,Thai Lee,64.0,United States,Austin,Technology,True,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,Winifred J. Marquart,63.0,United States,Virginia Beach,Manufacturing,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
567,4800,Pankaj Patel,70.0,India,Ahmedabad,Healthcare,False,U,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
567,4800,Yu Yong,62.0,China,Shanghai,Finance & Investments,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
580,4700,Maria Fernanda Amorim & family,88.0,Portugal,Grijo,Diversified,False,E,F,81.3,63.9,106.2,"$237,686,075,635 ",39.8,10269417.0
580,4700,Gayle Benson,76.0,United States,New Orleans,Sports,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
580,4700,Ali Erdemoglu,63.0,Turkey,Istanbul,Manufacturing,True,U,M,77.4,23.9,93.2,"$754,411,708,203 ",42.3,83429615.0
580,4700,Andre Esteves,54.0,Brazil,Sao paulo,Finance & Investments,True,D,M,75.7,51.3,115.4,"$1,839,758,040,766 ",65.1,212559417.0
580,4700,Carlo Fidani,68.0,Canada,Toronto,Real Estate,False,U,M,81.9,68.9,100.9,"$1,736,425,629,520 ",24.5,36991981.0
580,4700,Hong Ra-hee,77.0,South Korea,Seoul,Technology,False,D,F,82.6,94.3,98.1,"$2,029,000,000,000 ",33.2,51709098.0
580,4700,Li Gaiteng,50.0,China,Shanghai,Manufacturing,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
580,4700,Thomas Secunda,68.0,United States,Croton-on-Hudson,Media & Entertainment,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
580,4700,Zuowen Song,76.0,China,Longkou,Diversified,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
580,4700,Tim Sweeney,52.0,United States,Cary,Media & Entertainment,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Bert Beveridge,61.0,United States,Austin,Food & Beverage,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Mark Cuban,64.0,United States,Dallas,Media & Entertainment,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Charles Dolan & family,96.0,United States,Oyster Bay,Media & Entertainment,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Jack Dorsey,46.0,United States,San Francisco,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Fan Hongwei,56.0,China,Wujiang,Energy,True,D,F,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
591,4600,Vladimir Kim,62.0,Kazakhstan,Almaty,Metals & Mining,True,D,M,73.2,61.7,104.4,"$180,161,741,180 ",28.4,18513930.0
591,4600,Ronald Lauder,79.0,United States,New York,Fashion & Retail,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Li Chunan,54.0,China,Fushun,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
591,4600,Forrest Li,45.0,Singapore,Singapore,Media & Entertainment,True,D,M,83.1,84.8,100.6,"$372,062,527,489 ",21.0,5703569.0
591,4600,Doug Meijer & family,69.0,United States,Grand Rapids,Fashion & Retail,False,Split Family Fortune,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Hank Meijer & family,71.0,United States,Grand Rapids,Fashion & Retail,False,Split Family Fortune,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Mark Meijer & family,65.0,United States,Grand Rapids,Fashion & Retail,False,Split Family Fortune,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Issad Rebrab & family,79.0,Algeria,Algiers,Food & Beverage,True,D,M,76.7,51.4,109.9,"$169,988,236,398 ",66.1,43053054.0
591,4600,Fred Smith,78.0,United States,Memphis,Logistics,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Barry Sternlicht,62.0,United States,Miami,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Maximilian Viessmann,34.0,Germany,Battenberg,Manufacturing,False,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
591,4600,Russ Weiner,52.0,United States,Delray Beach,Food & Beverage,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
591,4600,Xue Min,66.0,China,Wuhan,Healthcare,True,N,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
611,4500,Dietmar Hopp & family,82.0,Germany,Walldorf,Technology,True,D,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
611,4500,Jiang Bin,56.0,China,Weifang,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
611,4500,Joseph Liemandt,54.0,United States,Austin,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
611,4500,Theo Mueller,83.0,Switzerland,Zurich,Food & Beverage,False,D,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
611,4500,N.R. Narayana Murthy,76.0,India,Bangalore,Technology,True,U,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
611,4500,Odd Reitan & family,71.0,Norway,Trondheim,Fashion & Retail,False,D,M,82.8,82.0,100.3,"$403,336,363,636 ",36.2,5347896.0
611,4500,Marc Rowan,60.0,United States,New York,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
611,4500,Hussain Sajwani,70.0,United Arab Emirates,Dubai,Real Estate,True,U,M,77.8,36.8,108.4,"$421,142,267,938 ",15.9,9770529.0
611,4500,David Velez & family,41.0,Brazil,Sao Paulo,Finance & Investments,True,D,M,75.7,51.3,115.4,"$1,839,758,040,766 ",65.1,212559417.0
611,4500,Xu Jinfu,59.0,China,Guangzhou,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
611,4500,You Xiaoping & family,65.0,China,Wenzhou,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
624,4400,Stéphane Bancel,50.0,United States,Boston,Healthcare,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Margot Birmingham Perot,89.0,United States,Dallas,Technology,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Neal Blue & family,88.0,United States,San Diego,Manufacturing,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Jim Davis,63.0,United States,Cockeysville,Service,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Rafael Del Pino,64.0,Spain,Madrid,Construction & Engineering,False,U,M,83.3,88.9,102.7,"$1,394,116,310,769 ",47.0,47076781.0
624,4400,Peter Grogg,81.0,Switzerland,Liestal,Healthcare,True,D,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
624,4400,Christian Haub,58.0,Germany,Munich,Fashion & Retail,False,E,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
624,4400,Mangal Prabhat Lodha,67.0,India,Mumbai,Real Estate,True,D,M,69.4,28.1,113.0,"$2,611,000,000,000 ",49.7,1366417754.0
624,4400,Jeffrey Lurie & family,71.0,United States,Wynnewood,Sports,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Joe Mansueto,66.0,United States,Chicago,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
624,4400,Qian Dongqi & family,65.0,China,Suzhou,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
624,4400,Mikhail Shelkov,54.0,Russia,Moscow,Metals & Mining,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
636,4300,Patrick Drahi,59.0,Switzerland,Zermatt,Telecom,True,D,M,83.6,59.6,105.2,"$703,082,435,360 ",28.8,8574832.0
636,4300,Behdad Eghbali,46.0,United States,Los Angeles,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Juan Carlos Escotet,63.0,Spain,A Coruña,Finance & Investments,True,U,M,83.3,88.9,102.7,"$1,394,116,310,769 ",47.0,47076781.0
636,4300,Jose E. Feliciano,49.0,United States,Los Angeles,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Hu Kaijun,61.0,China,Beijing,Healthcare,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
636,4300,Johnelle Hunt,91.0,United States,Fayetteville,Logistics,True,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Marian Ilitch,90.0,United States,Bingham Farms,Food & Beverage,True,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Daryl Katz,61.0,Canada,Edmonton,Diversified,True,D,M,81.9,68.9,100.9,"$1,736,425,629,520 ",24.5,36991981.0
636,4300,Andrei Kozitsyn,62.0,Russia,Verkhniaya Pyshma,Metals & Mining,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
636,4300,Timur Kulibaev,56.0,Kazakhstan,Almaty,Finance & Investments,True,U,M,73.2,61.7,104.4,"$180,161,741,180 ",28.4,18513930.0
636,4300,Dinara Kulibaeva,55.0,Kazakhstan,Almaty,Finance & Investments,False,U,F,73.2,61.7,104.4,"$180,161,741,180 ",28.4,18513930.0
636,4300,Gwendolyn Sontheim Meyer,61.0,United States,Rancho Santa Fe,Food & Beverage,False,D,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Jay Paul,75.0,United States,San Francisco,Real Estate,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Pham Nhat Vuong,54.0,Vietnam,Hanoi,Diversified,True,D,M,75.3,28.5,110.6,"$261,921,244,843 ",37.6,96462106.0
636,4300,Jon Stryker,64.0,United States,New York,Healthcare,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
636,4300,Frank Wang,42.0,China,Shenzhen,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
636,4300,Wang Junshi & family,74.0,China,Ningbo,Manufacturing,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
636,4300,Wang Wenjing,58.0,China,Beijing,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
636,4300,Herbert Wertheim,83.0,United States,Coral Gables,Finance & Investments,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Shari Arison,65.0,Israel,Tel Aviv,Service,False,D,F,82.8,63.4,104.9,"$395,098,666,122 ",25.3,9053300.0
659,4200,Chan Laiwa & family,82.0,China,Beijing,Real Estate,True,D,F,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
659,4200,Chen Hua,57.0,China,Shenzhen,Real Estate,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
659,4200,Thomas Hagen,87.0,United States,Erie,Finance & Investments,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,"Rupert Johnson, Jr.",82.0,United States,Burlingame,Finance & Investments,False,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Dewi Kam,72.0,Indonesia,Jakarta,Energy,True,N,F,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
659,4200,Min Kao & family,74.0,United States,Leawood,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Marc Ladreit de Lacharriere,82.0,France,Paris,Finance & Investments,True,U,M,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
659,4200,Eric Lefkofsky,53.0,United States,Glencoe,Technology,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Lin Bin,55.0,China,Shenzhen,Technology,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
659,4200,Lin Li,59.0,China,Shenzhen,Finance & Investments,True,D,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
659,4200,Michael Moritz,68.0,United States,San Francisco,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Jean (Gigi) Pritzker,60.0,United States,Los Angeles,Service,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,E. Joe Shoen,73.0,United States,Phoenix,Automotive,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Jeff Skoll,58.0,United States,Los Angeles,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Lynsi Snyder,40.0,United States,Glendora,Food & Beverage,False,E,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
659,4200,Djoko Susanto,73.0,Indonesia,Jakarta,Fashion & Retail,True,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
659,4200,Tahir & family,71.0,Indonesia,Jakarta,Diversified,True,U,M,71.5,36.3,106.4,"$1,119,190,780,753 ",30.1,270203917.0
659,4200,Peter Thiel,55.0,United States,Los Angeles,Finance & Investments,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,Andrej Babis,68.0,Czech Republic,Prague,Food & Beverage,True,D,M,79.0,64.1,100.7,"$246,489,245,495 ",46.1,10669709.0
679,4100,Danielle Bellon & family,83.0,France,Paris,Service,False,U,F,82.5,65.6,102.5,"$2,715,518,274,227 ",60.7,67059887.0
679,4100,Hubert Burda,83.0,Germany,Munich,Media & Entertainment,False,U,M,80.9,70.2,104.0,"$3,845,630,030,824 ",48.8,83132799.0
679,4100,Nick Caporella,87.0,United States,Plantation,Food & Beverage,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,John Catsimatidis,74.0,United States,New York,Energy,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,Scott Cook,70.0,United States,Woodside,Technology,True,D,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,Luca Garavoglia,54.0,Italy,Milan,Food & Beverage,False,U,M,82.9,61.9,101.9,"$2,001,244,392,042 ",59.1,60297396.0
679,4100,Antti Herlin,66.0,Finland,Kirkkonummi,Manufacturing,False,D,M,81.7,88.2,100.2,"$268,761,201,365 ",36.6,5520314.0
679,4100,Hong Jie,55.0,China,Putian,Manufacturing,True,U,M,77.0,50.6,100.2,"$19,910,000,000,000 ",59.2,1397715000.0
679,4100,"Jeremy Jacobs, Sr. & family",83.0,United States,East Aurora,Service,False,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,Igor Kesaev,56.0,Russia,Moscow,Fashion & Retail,True,U,M,72.7,81.9,102.6,"$1,699,876,578,871 ",46.2,144373535.0
679,4100,Mary Alice Dorrance Malone,73.0,United States,Coatesville,Food & Beverage,False,U,F,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
679,4100,Joao Moreira Salles,61.0,Brazil,Rio de Janeiro,Diversified,False,U,M,75.7,51.3,115.4,"$1,839,758,040,766 ",65.1,212559417.0
679,4100,Walther Moreira Salles Junior,66.0,Brazil,Rio de Janeiro,Finance & Investments,False,U,M,75.7,51.3,115.4,"$1,839,758,040,766 ",65.1,212559417.0
679,4100,Arturo Moreno,76.0,United States,Phoenix,Sports,True,U,M,78.5,88.2,101.8,"$21,427,700,000,000 ",36.6,328239523.0
